name,Body Position,Angle,Tool,Support,Resistance Type,Distraction,Accessory Movement,Mode of Movement,R+L,right_left_bool,reps_bool,resistance_bool,duration_bool,work_rest_bool,GIF link,,,,,,,,,,,
Incline (Feet Elevated on Box) Neutral Grip (Stands) Straight Arm Straight Leg Hip Extension Series,Prone,Incline,"Neutral Grip (Stands)
Box (feet elevated)",Straight Arm,,,Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
Incline (Feet Elevated on Box) Neutral Grip (Stands) Straight Arm Straight Leg Hip Extension Series + Lateral Band Distraction (Waist),Prone,Incline,"Neutral Grip (Stands)
Box (feet elevated)",Straight Arm,,Lateral Band Distraction (Waist),Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) Neutral Grip (Stands) Straight Arm Mini Band""90,45,180"" Hip Extension Series",Prone,Incline,"Medicine Ball (feet elevated)
Neutral Grip (Stands)",Straight Arm,Mini Band,,"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) Neutral Grip (Stands) Straight ArmMini Band""90,45,180"" Hip Extension Series + Lateral Band Distraction (Waist)",Prone,Incline,"Medicine Ball (feet elevated)
Neutral Grip (Stands)",Straight Arm,Mini Band,Lateral Band Distraction (Waist),"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
Incline (Feet Elevated on Medicine Ball) BOSU(dome down) Straight Arm Straight Leg Hip Extension Series,Prone,Incline,"Medicine Ball (feet elevated)
BOSU (dome down)",Straight Arm,,,Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
Incline (Feet Elevated on Medicine Ball) BOSU(dome down) Straight Arm Straight Leg Hip Extension Series+ Lateral Band Distraction (Waist),Prone,Incline,"Medicine Ball (feet elevated)
BOSU (dome down)",Straight Arm,,Lateral Band Distraction (Waist),Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) BOSU(dome down) Straight Arm Mini Band""90,45,180"" Hip Extension Series",Prone,Incline,"Medicine Ball (feet elevated)
BOSU (dome down)",Straight Arm,Mini Band,,"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) BOSU(dome down) Straight Arm Mini Band""90,45,180"" Hip Extension Series + Lateral Band Distraction (Waist)",Prone,Incline,"Medicine Ball (feet elevated)
BOSU (dome down)",Straight Arm,Mini Band,Lateral Band Distraction (Waist),"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
Incline (Feet Elevated on Box) BOSU(dome down) Straight Arm Straight Leg Hip Extension Series,Prone,Incline,"BOSU (dome down)
Box (feet elevated)",Straight Arm,,,Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
Incline (Feet Elevated on Box) BOSU(dome down) Straight Arm Straight Leg Hip Extension Series + Lateral Band Distraction (Waist),Prone,Incline,"BOSU (dome down)
Box (feet elevated)",Straight Arm,,Lateral Band Distraction (Waist),Straight Leg,,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) BOSU(dome down) Straight Arm)Elbow Mini Band""90,45,180"" Hip Extension Series",Prone,Incline,"Medicine Ball (feet elevated)
BOSU (dome down)",Straight Arm,Mini Band,,"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
"Incline (Feet Elevated on Medicine Ball) BOSU(dome down) Straight Arm Mini Band""90,45,180"" Hip Extension Series + Lateral Band Distraction (Waist)",Prone,Incline,"Medicine Ball (feet elevated)
BOSU (dome down)",Straight Arm,Mini Band,Lateral Band Distraction (Waist),"""90,45,180"" Hip Extension Series",,,,TRUE,,,,,,,,,,,,,,,
